,date,cases_0_9,cases_10_19
0,2021-12-05,157,168
1,2021-12-06,203,187
2,2021-12-07,200,229
3,2021-12-08,278,230
4,2021-12-09,219,227
5,2021-12-10,194,179
6,2021-12-11,183,177
7,2021-12-12,198,174
8,2021-12-13,244,198
9,2021-12-14,234,228
10,2021-12-15,333,241
11,2021-12-16,333,194
12,2021-12-17,248,189
13,2021-12-18,271,196
14,2021-12-19,221,186
15,2021-12-20,252,190
16,2021-12-21,237,176
17,2021-12-22,263,208
18,2021-12-23,265,256
19,2021-12-24,242,255
20,2021-12-25,246,289
21,2021-12-26,170,194
22,2021-12-27,201,229
23,2021-12-28,260,266
24,2021-12-29,290,417
25,2021-12-30,342,521
26,2021-12-31,331,613
27,2022-01-01,345,734
28,2022-01-02,391,710
29,2022-01-03,460,832
30,2022-01-04,661,1486
31,2022-01-05,809,2013
32,2022-01-06,786,2698
33,2022-01-07,754,2773
34,2022-01-08,1161,3574
35,2022-01-09,1195,3212
36,2022-01-10,955,2515
37,2022-01-11,1267,2497
38,2022-01-12,1423,2419
39,2022-01-13,1409,2208
40,2022-01-14,1401,2109
41,2022-01-15,990,1395
42,2022-01-16,1932,2004
43,2022-01-17,1443,1415
44,2022-01-18,1060,1065
45,2022-01-19,1271,1181
46,2022-01-20,1379,1246
47,2022-01-21,1185,1072
48,2022-01-22,1213,933
49,2022-01-23,1005,736
50,2022-01-24,722,479
51,2022-01-25,1039,736
52,2022-01-26,955,712
53,2022-01-27,867,693
54,2022-01-28,746,638
55,2022-01-29,862,763
56,2022-01-30,697,552
57,2022-01-31,622,478
58,2022-02-01,631,585
59,2022-02-02,821,1090
60,2022-02-03,671,766
61,2022-02-04,600,576
62,2022-02-05,477,360
63,2022-02-06,507,364
64,2022-02-07,491,373
65,2022-02-08,603,449
66,2022-02-09,682,586
67,2022-02-10,559,534
68,2022-02-11,533,461
69,2022-02-12,424,395
70,2022-02-13,416,350
71,2022-02-14,370,321
72,2022-02-15,393,326
73,2022-02-16,548,509
74,2022-02-17,511,503
75,2022-02-18,399,431
